"Agora id",,"English Term","English Expert definition","English Simple definition"
22361,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22361&search_mode=solr","cross-correlation of business cycles","<p>A measure of how closely aligned the timing of movements in activity are for two countries over their business cycles. The cross-correlation statistic for two economic time series can range from -1 to 1. In general, the closer the cross-correlation is to value of 1 the more in phase and synchronised the business cycles will be. A value of -1 would indicate that the two series move perfectly in a counter-cyclical direction. A value near zero indicates that there is no statistical relationship between the series.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
22374,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22374&search_mode=solr","cultivated assets","<p>Cultivated assets are livestock for breeding (including fish and poultry), dairy, draught, etc and vineyards, orchards and other plantations of trees yielding repeat products that are under the direct control, responsibility and management of institutional units. (AN.1114) - Annex to chapter XIII [10.83]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22435,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22435&search_mode=solr","current expenditure","<p>Expenditure undertaken during the current time period. May comprise revenue or capital expenditure.</p><p>[OECD/Training Statistics Manual/Glossary of Training Terms/08-1995]</p>",
22437,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22437&search_mode=solr","current international cooperation","<p>Current international cooperation consists of current transfers in cash or in kind between the governments of different countries or between governments and international organisations. 8.92</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22443,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22443&search_mode=solr","current repairs and maintenance",,"<p>Outlays which make good breakages in fixed assets and keep them in good working order. Includes outlays on new parts and attachments of fixed assets which have an expected life of use of one year or somewhat more but which are short-lived relative to the fixed asset itself, or are of relatively small value.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22446,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22446&search_mode=solr","current taxes on capital","<p>Current taxes on capital consist of taxes that are payable periodically, usually annually, on the property or net wealth of institutional units, excluding taxes on land or other assets owned or rented by enterprises and used by them for production.</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22447,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22447&search_mode=solr","current taxes on land and buildings","<p>Current taxes on land and buildings consist of taxes payable periodically, in most cases annually, on the use or ownership of land or buildings by owners (including owner-occupiers of dwellings), tenants or both, excluding taxes on land or buildings rented or owned by enterprises and used by them in production.</p><p>[OECD/System of National Accounts 1993-Glossary/2000]</p>",
22448,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22448&search_mode=solr","current taxes on net wealth","<p>Current taxes on net wealth consist of taxes payable periodically, in most cases annually, on the value of land or fixed assets less any debt incurred on those assets, excluding taxes on assets owned by enterprises and used by them in production.</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22449,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22449&search_mode=solr","current taxes on other assets","<p>Current taxes on other assets include taxes payable periodically, usually annually, on assets such as jewellery or other external signs of wealth.</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22451,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22451&search_mode=solr","current transfers",,"<p>Transfers of income between transactors. The transfers are made from the current income of the payer and add to the current income of the recipient for such purposes as consumption expenditure.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22452,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22452&search_mode=solr","current transfers between households","<p>Current transfers between households consist of all current transfers in cash or in kind made, or received, by resident households to or from other resident or non-resident households. 8.95</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22454,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22454&search_mode=solr","current transfers to NPISHs","<p>Most current transfers to NPISHs consist of cash transfers received by NPISHs from other resident or non-resident institutional units in the form of membership dues, subscriptions, voluntary donations, etc whether made on a regular or occasional basis. 8.94</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22455,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22455&search_mode=solr","current transfers within general government","<p>Current transfers within general government consist of current transfers between different government units or different sub-sectors of general government they include current transfers between different levels of government, such as frequently occur between central and state or local government units, and between government units and social security funds. 8.90</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22468,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22468&search_mode=solr","cycle","<p>A cycle in economic activity is the time span separating two turning points of the same nature (two peaks or two troughs).</p><p>[OECD/Business Tendency Surveys: A Handbook/Glossary/2003]</p>",
22478,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22478&search_mode=solr","cyclical component of a time series","<p>The cyclical component of a time series refers to (regular or periodic) fluctuations around the trend, excluding the irregular component, revealing a succession of phases of expansion and contraction. The cyclical component can be viewed as those fluctuations in a time series which are longer than a given threshold, e.g. 1½ years, but shorter than those attributed to the trend. Source: Task force on data and metadata presentation for the OECD Short-term Economic Statistics Working Party (STESWP), Paris, 2004.</p><p>[OECD/Data and Metadata Reporting and Presentation Handbook/2007]</p>",
22538,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22538&search_mode=solr","decay","<p>Physical deterioration is the loss in the physical efficiency of an asset as it ages. Efficiency in this context refers to the asset's ability to produce a quantity of capital services for a given amount of inputs. It is a synonym for “ wear and tear” or “ decay” .</p><p>[OECD/Measuring Capital: OECD Manual, Annex 1 Glossary of Technical Terms Used in the Manual/2001]</p>","<p>Decline in value through the ordinary use of an asset. Income tax systems usually allow deductions in calculating the profits of a business using buildings, plant and machinery which are subject to wear and tear in the course of the business.</p><p>[OECD/Glossary of Tax Terms/OECD website, last accessed on 13-04-2015]</p>"
22581,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22581&search_mode=solr","deflation","<p>Defined as sustained fall in the general price level.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
22647,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22647&search_mode=solr","depletion",,"<p>Deductible expense which reflects the decrease of a natural resource due to extraction of the resource.</p><p>[OECD/Glossary of Tax Terms/OECD website, last accessed on 13-04-2015]</p>"
22649,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22649&search_mode=solr","depletion of natural economic assets","<p>The depletion of natural economic assets is the reduction in the value of deposits of subsoil assets as a result of their physical removal, the depletion of water resources, and the depletion of natural forests, fishstocks in the open seas and other non-cultivated biological resources as a result of harvesting, forest clearance, or other use. 12.29 and 12.30</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22666,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22666&search_mode=solr","depositor","Intermediate entity that acts as trustee, and is responsible for managing the asset portfolio and the securities issued in a securitisation transaction. A depositor carries out the payments of principal and interest to investors as well as channels the remaining funds to the originator.<br />[COM/STD/DAF(2013)3]",
22740,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22740&search_mode=solr","direct investment enterprise","<p>Is an incorporated enterprise in which a foreign investor owns 10 per cent or more of the ordinary shares or voting power or an unincorporated enterprise in which a foreign investor has equivalent ownership. Ownership of 10 per cent of the ordinary shares or voting stock is the criterion for determining the existence of a direct investment relationship. An “effective voice in the management”, as evidenced by an ownership of at least 10 per cent, implies that the direct investor is able to influence, or participate in, the management of an enterprise absolute control by the foreign investor is not required.Direct investment enterprises comprise:subsidiaries (an enterprise in which a non-resident investor owns more than 50 per cent) associates (an enterprise in which a non-resident investor owns between 10 and 50 per cent) and branches (unincorporated enterprises wholly or jointly owned by a non-resident investor) that are either directly or indirectly owned by the direct investor.When the 10 per cent ownership requirement for establishing a direct investment link with an enterprise is met, certain other enterprises that are related to the first enterprise are also regarded as direct investment enterprises. Hence the definition of direct investment enterprise extends to the branches and subsidiaries of subsidiaries of the direct investor (so-called “indirectly owned direct investment enterprises”). The OECD Benchmark Definition of Foreign Investment, and the IMF Balance of Payments Textbook and Balance of Payments Compilation Guide describe the scope of enterprises, both directly and indirectly owned, that should be included in the definition. The OECD’s specification of this group of enterprises is referred to as the “Fully Consolidated System”.</p><p>[OECD/Manual on economic globalisation indicators: foreign direct investment/25-02-2004]</p><p> </p><p>Direct investment assets can be ascribed to the following three categories: (i) investment by a resident direct investor in its non-resident direct investment enterprises (ii) reverse investment by a resident direct investment enterprise in its non-resident direct investor(s) (iii) investment by a resident fellow enterprise in non-resident fellow enterprises.</p><p>[OECD/Benchmark Definition of Foreign Direct Investment/Glossary/2008]</p>",
22757,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22757&search_mode=solr","direct purchases abroad by producers of government services",,"<p>Purchases, less sales of goods and services in a foreign country for the extra-territorial agencies of, and other direct uses abroad by, the government of a country. Included is the excess of the contributions of a country to the joint military installations and other specific common defence projects over the expenditures on goods and services for these purposes in the domestic territory of the given country.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22758,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22758&search_mode=solr","direct purchases abroad by resident households",,"<p>Expenditures abroad by resident persons of a country, such as tourists, ships’ crews, border and seasonal workers and diplomatic and military personnel, on goods and services, including local transportation. Excludes the expenditures of travelling resident businessmen, government officials, crews, etc. which are reimbursable by their employer or are a business expense.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22759,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22759&search_mode=solr","direct purchases in the domestic market by extra-territorial bodies",,"<p>Purchases less sales of goods and services by extra-territorial civilian or military bodies stationed in a country. Included is the excess of the expenditures of joint military installations and other specific common defence projects on goods and services in the domestic territory of the given country over her contributions to the outlays on these defence arrangements. These purchases are included in the exports of miscellaneous commodities of the country where the purchases are made.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22760,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22760&search_mode=solr","direct purchases in the domestic market by non-resident households",,"<p>Expenditures in the domestic market of a country by non-resident persons such as are mentioned above, on goods and services. Excludes the expenditures of travelling nonresident businessmen, government officials, etc. which are reimbursable by their employer or are a business expense.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22808,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22808&search_mode=solr","decreasing returns to scale","<p>Diseconomies of scale, occurs when the average unit costs of production increase beyond a certain level of output.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
22831,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22831&search_mode=solr","distributed income of corporations","<p>The distributed income of corporations consists of dividends plus withdrawals from income of quasi-corporations. 7.112 - 7.118</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22833,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22833&search_mode=solr","distribution and use of income accounts","<p>The distribution and use of income accounts consist of a set of articulated accounts showing how incomes are: (a) generated by production (b) along with property income, distributed to institutional units with claims on the value added created by production (c) redistributed among institutional units, mainly by government units through social security contributions and benefits and taxes and (d) eventually used by households, government units or non-profit institutions serving households (NPISHs) for purposes of final consumption or saving. 1.7 and Table 2.8</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22841,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22841&search_mode=solr","distributive transactions","<p>Distributive transactions consist of transactions by which the value added generated by production is distributed to labour, capital and government and of transactions involving the redistribution of income and wealth (taxes on income and wealth and other transfers). 2.31</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22871,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22871&search_mode=solr","domestic corporation",,"<p>Corporation which is organized or has its place of effective management in a country.</p><p>[OECD/Glossary of Tax Terms/OECD website, last accessed on 13-04-2015]</p>"
22875,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22875&search_mode=solr","domestic demand","<p>Final domestic demand is the short term used by economists to qualify the part of final demand that is domestic: final consumption expenditures + investment expenditures.</p><p>[OECD/Understanding National Accounts/2007]</p>",
22880,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22880&search_mode=solr","domestic factor income",,"<p>The compensation of employees and operating surplus originating in domestic production in other words, included in the value added of resident producers.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22892,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22892&search_mode=solr","domestic territory",,"<p>In addition to the territory lying within the political frontiers of a country, excluding her overseas territories and possessions, (i) ships and aircraft operated by residents of the country entirely, or primarily, between two or more countries (ii) fishing vessels, oil and natural gas rigs, and floating platforms operated by residents of the country wholly, or mainly, in international waters or engaged in extraction in areas in which the country has the exclusive right of exploitation by virtue of international agreements or pronouncements and (iii) the embassies, consulates and military establishments of the country located abroad.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
22906,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22906&search_mode=solr","double declining balance depreciation","<p>Double-declining balance is a form of geometric depreciation in which the constant annual rate of capital consumption is set equal to 2*V/T, where V is the value of the asset when new and T is the service life of the asset in years.</p><p>[OECD/Measuring Capital: OECD Manual, Annex 1/Glossary of Technical Terms Used in the Manual/2001]</p>",
22907,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22907&search_mode=solr","double deflation","<p>Double deflation is a method whereby gross value added is measured at constant prices by subtracting intermediate consumption at constant prices from output at constant prices this method is feasible only for constant price estimates which are additive, such as those calculated using a Laspeyres' formula (either fixed- base or for estimates expressed in the previous year's prices). 16.5</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22909,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22909&search_mode=solr","double entry system","<p>For a unit or sector, national accounting is based on the principle of double entry, as in business accounting, whereby each transaction must be recorded twice, once as a resource (or a change in liabilities) and once as a use (or a change in assets). (SNA 2.57)</p><p>[OECD/Measuring the Non-Observed Economy: A Handbook/2002]</p>",
22957,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22957&search_mode=solr","deprival value (DV)","<p>Deprival value represents the loss to the agency if it was deprived of the service potential or future economic benefits of the asset. If the asset to be lost to the organisation is to be replaced, then the asset should be valued at its market value, replacement cost or reproduction cost, depending on the circumstances. If the asset is not replaced, then it should be valued at its economic value, which is the greater of either the asset’s net present value or fair market value. Where the asset is surplus to requirements, it should be valued at its fair market value.</p><p>[DAFFE/COMP(2004)18]</p>",
22958,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22958&search_mode=solr","dwelling","<p>Dwellings are buildings that are used entirely or primarily as residences, including any associated structures, such as garages, and all permanent fixtures customarily installed in residences movable structures, such as caravans, used as principal residences of households are included. (AN.1111) - Annex to chapter XIII</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
22999,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=22999&search_mode=solr","economic activity","<p>An economic activity is a process, i.e., the combination of actions, that result in economic production (ISIC Rev. 3, para. 29)</p><p>[OECD/Measuring the Non-Observed Economy: A Handbook/2002]</p>",
23003,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23003&search_mode=solr","Economic and Monetary Union (EMU)","<p>The third stage of European economic and monetary union came into effect 1 January 1999, with the launch of the euro. Eleven countries participate from the start: Austria, Belgium, Finland, France, Germany, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain. On 1 January 2001, Greece joined.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
23007,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23007&search_mode=solr","economic assets","<p>Economic assets are entities functioning as stores of value and over which ownership rights are enforced by institutional units, individually or collectively, and from which economic benefits may be derived by their owners by holding them, or using them, over a period of time (the economic benefits consist of primary incomes derived from the use of the asset and the value, including possible holding gains/losses, that could be realised by disposing of the asset or terminating it). 10.2 and 13.12 [11.16]</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23017,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23017&search_mode=solr","economic flow","<p>Economic flows reflect the creation, transformation, exchange, transfer or extinction of economic value they involve changes in the volume, composition, or value of an institutional unit’s assets and liabilities. (SNA 3.9)</p><p>[OECD/Measuring the Non-Observed Economy: A Handbook/2002]</p>",
23022,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23022&search_mode=solr","economic life","<p>The service life of an asset is the total period during which it remains in use, or ready to be used, in a productive process. During its service life an asset may have more than one owner.</p><p>[OECD/Measuring Capital: OECD Manual, Annex 1/Glossary of Technical Terms Used in the Manual/2001]</p>","<p>Period during which it is estimated that a depreciable asset will provide useful service to the business in which it is used.</p><p>[OECD/Glossary of Tax Terms/OECD website, last accessed on 13-04-2015]</p>"
23032,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23032&search_mode=solr","economic production","<p>Economic production is an activity carried out under the control and responsibility of an institutional unit that uses inputs of labour, capital, and goods and services to produce outputs of goods or services. 6.15</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23033,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23033&search_mode=solr","economic profit","<p>Economic profits are not the same as accounting profits. In accounting, profits are simply the excess of revenues over the explicit costs of obtaining the revenues. Costs are not calculated as opportunity costs and do not include a normal return on capital. Moreover, accountants calculate different categories of profits which may differ from country to country.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
23035,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23035&search_mode=solr","economic rent","<p>Economists use the term economic rent to denote the payment to factors which are permanently in fixed supply and quasi rent to denote payments for factors which are temporarily in fixed supply. The presence of economic rents implies that the factor can neither be destroyed nor augmented. Quasi rents exist when factors can be augmented over time, or when their supply can be reduced over time through depreciation. Factors which earn economic or quasi rents typically are paid an amount in excess of their opportunity costs.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
23042,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23042&search_mode=solr","economic slack","<p>Indicators of economic slack are measures of the over or under-utilisation of productive capacities or the cyclical position of an economy. Theoretically the cyclical position can be defined as the difference between actual activity and the level of potential activity that can be sustained without generating inflationary pressures in the economy. From a practical standpoint, a range of conceptual as well as measurement difficulties arise, mostly related to the reference value, potential activity. Conceptually, several different measures of the reference value exist, the most common ones being: potential output, the structural rate of unemployment (as measured by the NAIRU) and full capacity. <br>[OECD/Policy Frameworks in the Post-Crisis Environment/Economics Department Working Papers, No. 857/2011]</p><p><a href=""http://dx.doi.org/10.1787/5kgdpn1w9lkb-en"">http://dx.doi.org/10.1787/5kgdpn1w9lkb-en</a>]</p>",
23046,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23046&search_mode=solr","economic territory","<p>Economic territory is defined as including all the areas under the effective economic control of a single government. Economic territory has the dimensions of physical location as well as legal jurisdiction. With regard to its composition, an economic territory (or economy) consists of all the institutional units that are resident in that territory. The concepts of economic territory and residence are designed to ensure that each institutional unit is a resident of a single economic territory. The economic territory includes the land area, airspace, territorial waters, including jurisdiction over fishing rights and rights to fuels or minerals. In a maritime territory, the economic territory includes islands that belong to the territory. The economic territory also includes territorial enclaves in the rest of the world. These are clearly demarcated land areas (such as embassies, consulates, military bases, scientific stations, information or immigration offices, aid agencies, central bank representative offices with diplomatic immunity, etc.) located in other territories and used by governments that own or rent them for diplomatic, military, scientific, or other purposes with the formal agreement of governments of the territories where the land areas are physically located.</p><p>[OECD/Benchmark Definition of Foreign Direct Investment/Glossary/2008]</p>",
23047,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23047&search_mode=solr","economic territory of an international organisation","<p>The economic territory of an international organisation consists of the territorial enclave, or enclaves, over which it has jurisdiction these consist of clearly demarcated areas of land or structures which the international organisation owns or rents and which it uses for the purposes for which the organisation was created by formal agreement with the country, or countries, in which the enclave or enclaves are physically located. 14.10</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23052,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23052&search_mode=solr","economically active persons","<p>Economically active persons are persons engaged in production included within the boundary of production of the SNA. 6.22</p><p>[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23054,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23054&search_mode=solr","economically significant prices","<p>Prices are said to be economically significant when they have a significant influence on the amounts the producers are willing to supply and on the amounts purchasers wish to buy. 6.45 [4.58]<br />[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23057,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23057&search_mode=solr","economies of multi-plant operations","<p>Economies of scale associated with operating more than one plant. They may arise for such reasons as minimizing transportation costs of raw materials and/or finished goods, to better serve different geographic markets, economies of scope, specialization, etc.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
23058,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23058&search_mode=solr","economies of scale","<p>Refers to the phenomenon where the average costs per unit of output decrease with the increase in the scale or magnitude of the output being produced by a firm. Similarly, the opposite phenomenon, diseconomies of scale, occurs when the average unit costs of production increase beyond a certain level of output.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
23059,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23059&search_mode=solr","economies of scope","<p>Economies of scope exist when it is cheaper to produce two products together (joint production) than to produce them seperately. For exemple, it may be less costly to provide air service from point A to points B and C with one aircraft than have two separate air flights, one to point A and another to point C. Similarly, a steer produces beef and hide and it may be inefficient to breed steers seperately for beef and for hide. While many factors such as technology explain economies of scope, of particular importance is the presence of common input(s) and/or complementarities in production. Firms may often endeavor to exploit economies of scope in order to produce and offer multiple products at lower costs.</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
23071,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23071&search_mode=solr","effective exchange rate","<p>Nominal (effective exchange rates), a composite index of the value of the domestic currency. More specifically, it is the exchange rate of the domestic currency vis-à-vis other currencies weighted by their share in either the country's international trade or payments. Real (effective exchange rates), takes account of price level differences between trading partners. Movements in the real effective exchange rate provide an indication of the evolution of a country's aggregate external price competitiveness.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
23075,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23075&search_mode=solr","effectiveness","<p>Achieving maximum output from a given level of resources used to carry out an activity (OECD Glossary of Statistical Terms). </p><p>[OECD/Government At A Glance/Glossary/2011]</p><p> </p><p>The extent to which programmes achieve their expected objectives, or outcomes. Effectiveness is the most important element of value for money in the public sector. Goods or services may be provided economically and efficiently but if they do not achieve their intended objectives the resources used could be wasted.</p><p>[OECD/Glossary of performance-related pay/11-07-2005]</p>",
23077,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23077&search_mode=solr","efficiency","<p>The term has a wide number of usages. In the context of industrial organization economics and competition law and policy, it relates to the most effective manner of utilizing scarce resources. Two types of efficiency are generally distinguished : technological (or technical) and economic (or allocative).</p><p>[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]</p>",
23091,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23091&search_mode=solr","elasticity","<p>Measures the responsiveness of one variable to changes in some other variable.</p><p>[OECD/Economics Department/Economics Glossary/2005]</p>",
23109,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23109&search_mode=solr","employers' actual social contributions","<p>Employers' actual social contributions are the amounts payable by employers for the benefit of their employees to social security funds, insurance enterprises, autonomous pension funds or other institutional units responsible for the administration and management of social insurance schemes. 7.44 [8.67] <br />[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23110,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23110&search_mode=solr","employers' imputed social contributions","<p>Employers' imputed social contributions are equal in value to the amount of social contributions that would be needed to secure the de facto entitlements to the social benefits they accumulate they arise only in cases where social benefits are provided by employers directly to their employees, former employees or dependants out of their own resources without involving an insurance enterprise or autonomous pension fund, and without creating a special fund or segregated reserve for the purpose. 7.45 <br />[OECD/System of National Accounts 1993/Glossary/2000]</p>",
23156,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23156&search_mode=solr","enterprise","<p>An enterprise is the view of any institutional unit – not necessarily within what the Frascati Manual defines as the Business enterprise sector – as a producer of goods and services. The term enterprise may refer to a corporation, a quasi-corporation, a non-profit institution or an unincorporated enterprise. An enterprise is an economic transactor with autonomy in respect of financial and investment decision-making, as well as authority and responsibility for allocating resources for the production of goods and services. It may be engaged in one or more economic activities at one or more locations. An enterprise may be a sole legal unit.<br />[OECD/Frascati Manual/2015]<br /><br />A term in the commercial world used to describe a project or venture undertaken for gain. It is often used with the word ""business"" as in ""business enterprise"". Usually, by extension, it refers to the business entity carrying out the enterprise and is thus synonymous, with ""undertaking"", ""company"" or ""firm"". <br />[OECD/Glossary of Industrial Organisation, Economics &amp; Competition/1993]<br /><br /></p><p>An enterprise is an institutional unit engaged in production. An enterprise may be a corporation, a non-profit institution, or an unincorporated enterprise. Corporate enterprises and non-profit institutions are complete institutional units. An unincorporated enterprise, however, refers to an institutional unit—a household or government unit—only in its capacity as a producer of goods and services. <br />[OECD/Benchmark Definition of Foreign Direct Investment/Glossary/2008]</p>",
23160,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23160&search_mode=solr","enterprise group","<p>The business operations of one more legal entities under common ownership and/or control.</p><p>[OECD/Training Statistics Manual/Glossary of Training Terms/08-1995]</p><p>An enterprise group consists of all the enterprises under the control of the same owner. When a group of owners has control of more than one enterprise, the enterprises may act in a concerted way and the transactions between them may not be driven by the same concerns as “arm’s length” transactions. The Framework for Direct Investment Relationships can be used to determine which enterprises are under control or influence of the same owner. • A multinational enterprise group consists of all the enterprises located in different economies and under the control or influence of the same owner wherever located • An economy-specific enterprise group consists of all the enterprises located in the same economy and under the control or the influence of the same owner also located in the same economy. Ownership links that are external to the economy are not recognised in the formation of local enterprise groups.</p><p>[OECD/Benchmark Definition of Foreign Direct Investment/Glossary/2008]</p>",
23164,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=23164&search_mode=solr","enterprise-type unit",,"<p>Statistical unit in respect of corporate and quasi-corporate enterprises which, narrowly defined, is the legal entity in the case of corporate enterprises and the smallest unit with complete profit-and-loss and balance-sheet accounts in the case of quasi-corporations and which, broadly defined, is the family of incorporated and/or quasi-corporate enterprises which, as a result of ties of ownership, are controlled and managed by the same interests. An intermediate statistical unit between these two extremes is the family of corporate and/or quasi-corporate enterprises for which consolidated profit-and-loss and balance-sheet statements are available.</p><p>[OECD/Washington Center/Glossary of Main Terms/27-08-1999]</p>"
